customer_id,first_name,last_name,age,gender,nationality,purchase_channel,payment_methods,signup_date,customer_first_touch,is_member
CUST-B92D4,Erin,Dodson,21,Male,Lao,Vientiane-Shop,Credit Card,2022-01-02,Walk-in,True
CUST-36654,Dylan,Coleman,47,Male,Lao,Pakse-Shop,Credit Card,2022-01-02,Walk-in,True
CUST-568A1,Colleen,Bird,29,Female,Lao,Vientiane-Shop,Credit Card,2022-01-03,Walk-in,True
CUST-F9AF3,Marc,Stewart,45,Male,Chinese,Vientiane-Shop,Mobile Banking,2022-01-03,Walk-in,True
CUST-FA291,Louis,Good,51,Male,Thai,Vientiane-Shop,Cash,2022-01-03,Walk-in,False
CUST-7014A,Christopher,Buck,33,Female,Thai,Luangprabang-Shop,Credit Card,2022-01-03,Walk-in,True
CUST-6F8E4,Barbara,Martin,27,Female,Lao,Pakse-Shop,Mobile Banking,2022-01-03,Walk-in,True
CUST-31D3B,Rachel,Murphy,44,Male,Thai,Online/Website,Mobile Banking,2022-01-03,Tiktok,True
CUST-08096,William,Young,44,Male,Lao,Luangprabang-Shop,Mobile Banking,2022-01-03,Walk-in,False
CUST-641B8,Robert,Hamilton,65,Female,Lao,Luangprabang-Shop,Cash,2022-01-03,Walk-in,True
CUST-B20C4,Jonathon,Carr,20,Female,Thai,Vientiane-Shop,Credit Card,2022-01-03,Walk-in,True
CUST-4FC47,Teresa,Medina,34,Female,Lao,Savanhnaket-Shop,Mobile Banking,2022-01-03,Walk-in,True
CUST-2ED58,Michael,Gibson,46,Male,Lao,Vientiane-Shop,Cash,2022-01-03,Walk-in,False
CUST-9C1F9,Joseph,Weber,58,Male,Other,Pakse-Shop,Mobile Banking,2022-01-03,Walk-in,False
CUST-C2C82,Duane,Potts,39,Female,Lao,Luangprabang-Shop,Cash,2022-01-03,Walk-in,False
CUST-A8E98,Debra,Holt,26,Female,Lao,Luangprabang-Shop,Mobile Banking,2022-01-03,Walk-in,True
CUST-410D0,Kaylee,Marquez,46,Male,Lao,Vangvieng-Shop,Cash,2022-01-03,Walk-in,False
CUST-DE4F4,William,Hayden,40,Female,Thai,Luangprabang-Shop,Mobile Banking,2022-01-03,Walk-in,False
CUST-E726D,Richard,Lin,51,Female,Thai,Savanhnaket-Shop,Credit Card,2022-01-03,Walk-in,True
CUST-4DFD6,Maurice,Bryant,45,Female,Lao,Online/Website,Credit Card,2022-01-03,Tiktok,True
CUST-9F77B,John,Myers,29,Female,Lao,Vangvieng-Shop,Credit Card,2022-01-04,Walk-in,True
CUST-FA0E1,Patricia,Kane,31,Male,Other,Vangvieng-Shop,Mobile Banking,2022-01-04,Walk-in,False
CUST-5CE64,Christine,Campbell,49,Male,Chinese,Online/Website,Mobile Banking,2022-01-04,Tiktok,True
CUST-96B6D,Jason,Miller,32,Male,Thai,Pakse-Shop,Cash,2022-01-04,Walk-in,True
CUST-29E01,Rachel,Salazar,21,Female,Other,Online/Website,Mobile Banking,2022-01-04,Influencer_Ref,False
CUST-B7A65,Amy,Ruiz,64,Female,Lao,Pakse-Shop,Credit Card,2022-01-04,Walk-in,True
CUST-7A36F,Mary,Nicholson,35,Female,Lao,Vientiane-Shop,Mobile Banking,2022-01-05,Walk-in,False
CUST-BC914,Kimberly,Santos,56,Female,Lao,Vangvieng-Shop,Credit Card,2022-01-05,Walk-in,True
CUST-1A659,Clayton,Pittman,26,Male,Lao,Online/Website,Credit Card,2022-01-05,Influencer_Ref,True
CUST-FDFF8,Stephanie,Strong,21,Male,Thai,Online/Website,Credit Card,2022-01-05,Facebook,True
CUST-4065E,Caroline,Hamilton,52,Male,Lao,Vangvieng-Shop,Credit Card,2022-01-05,Walk-in,False
CUST-6A7EF,Ariel,Harvey,41,Female,Lao,Pakse-Shop,Mobile Banking,2022-01-05,Walk-in,True
CUST-13301,Tara,Green,49,Female,Lao,Online/Website,Mobile Banking,2022-01-05,Instagram,True
CUST-2965D,Amber,Fields,25,Female,Lao,Luangprabang-Shop,Cash,2022-01-05,Walk-in,True
CUST-4DA01,Daniel,Schultz,34,Female,Thai,Online/Website,Mobile Banking,2022-01-05,Facebook,False
CUST-F6E26,Kyle,Davis,35,Female,Lao,Online/Website,Mobile Banking,2022-01-05,Tiktok,False
CUST-182F9,Kimberly,Young,27,Male,Lao,Online/Website,Mobile Banking,2022-01-06,Influencer_Ref,True
CUST-52775,Thomas,Gibson,47,Male,American,Vientiane-Shop,Mobile Banking,2022-01-06,Walk-in,False
CUST-6437E,Christopher,Jones,23,Female,Lao,Vientiane-Shop,Mobile Banking,2022-01-06,Walk-in,True
CUST-60DD6,Cory,Nelson,65,Male,Thai,Luangprabang-Shop,Cash,2022-01-06,Walk-in,False
CUST-8D8A4,George,Smith,22,Female,Lao,Online/Website,Credit Card,2022-01-06,Influencer_Ref,True
CUST-A67C7,Katherine,Solis,24,Male,American,Vangvieng-Shop,Credit Card,2022-01-06,Walk-in,False
CUST-A0FA2,Michael,Palmer,55,Male,American,Savanhnaket-Shop,Mobile Banking,2022-01-06,Walk-in,False
CUST-AC84C,Pamela,Martinez,51,Male,Lao,Vientiane-Shop,Mobile Banking,2022-01-06,Walk-in,True
CUST-FA10B,Karen,Mckee,29,Female,Lao,Pakse-Shop,Mobile Banking,2022-01-06,Walk-in,False
CUST-F809A,Melissa,Rose,55,Male,Other,Luangprabang-Shop,Cash,2022-01-06,Walk-in,True
CUST-BF029,Sherri,Klein,49,Male,Lao,Online/Website,Credit Card,2022-01-07,Facebook,False
CUST-EE8DF,Michael,Brewer,18,Male,Lao,Vientiane-Shop,Mobile Banking,2022-01-07,Walk-in,True
CUST-568CC,Laura,Williams,34,Male,Chinese,Pakse-Shop,Mobile Banking,2022-01-07,Walk-in,False
CUST-AA449,Jennifer,Jones,45,Male,Thai,Vangvieng-Shop,Credit Card,2022-01-07,Walk-in,True
CUST-3A0A5,Ernest,Quinn,39,Female,Lao,Luangprabang-Shop,Mobile Banking,2022-01-07,Walk-in,False
CUST-50F96,Courtney,Strickland,37,Male,Lao,Luangprabang-Shop,Credit Card,2022-01-07,Walk-in,False
CUST-74B71,Timothy,Cook,20,Male,Lao,Luangprabang-Shop,Mobile Banking,2022-01-07,Walk-in,True
CUST-9973A,Jason,Wallace,25,Male,Lao,Savanhnaket-Shop,Mobile Banking,2022-01-07,Walk-in,False
CUST-F2C87,John,Hanson,44,Male,Thai,Online/Website,Mobile Banking,2022-01-07,Facebook,True
CUST-ED1EF,Austin,Nielsen,30,Male,Chinese,Pakse-Shop,Mobile Banking,2022-01-08,Walk-in,False
CUST-0E755,Joshua,Wood,49,Male,Lao,Vientiane-Shop,Mobile Banking,2022-01-08,Walk-in,True
CUST-872AC,Robert,Tucker,59,Female,Lao,Luangprabang-Shop,Credit Card,2022-01-08,Walk-in,False
CUST-6795B,Amber,Smith,57,Male,Lao,Online/Website,Mobile Banking,2022-01-08,Instagram,True
CUST-E3067,Samantha,Beck,63,Female,Lao,Vientiane-Shop,Mobile Banking,2022-01-08,Walk-in,False
CUST-3F602,Benjamin,Bauer,33,Male,Lao,Online/Website,Mobile Banking,2022-01-08,Influencer_Ref,True
CUST-307CE,Jill,Huynh,22,Male,Lao,Vientiane-Shop,Mobile Banking,2022-01-08,Walk-in,False
CUST-E7E86,Joan,Avila,19,Female,Lao,Luangprabang-Shop,Cash,2022-01-08,Walk-in,True
CUST-1D1AE,Matthew,Singh,43,Male,Lao,Online/Website,Mobile Banking,2022-01-08,Influencer_Ref,False
CUST-8871C,Anthony,Evans,57,Female,Lao,Luangprabang-Shop,Mobile Banking,2022-01-08,Walk-in,False
CUST-B70DC,Wanda,Davila,45,Female,Chinese,Vientiane-Shop,Cash,2022-01-08,Walk-in,False
CUST-F684B,Kara,Doyle,50,Male,Other,Savanhnaket-Shop,Mobile Banking,2022-01-08,Walk-in,True
CUST-DA92A,Christopher,Bennett,41,Female,Thai,Luangprabang-Shop,Mobile Banking,2022-01-08,Walk-in,True
CUST-47C2D,Marvin,King,62,Female,American,Savanhnaket-Shop,Cash,2022-01-08,Walk-in,True
CUST-65618,Wayne,Hawkins,30,Female,Thai,Savanhnaket-Shop,Mobile Banking,2022-01-08,Walk-in,False
CUST-588A7,Alexander,Barrett,32,Female,Lao,Luangprabang-Shop,Mobile Banking,2022-01-09,Walk-in,False
CUST-3C559,Laura,Sharp,29,Male,Other,Savanhnaket-Shop,Credit Card,2022-01-09,Walk-in,True
CUST-9393C,Brandon,Evans,30,Male,Lao,Pakse-Shop,Mobile Banking,2022-01-09,Walk-in,False
CUST-2D492,Mallory,Brown,34,Male,Thai,Pakse-Shop,Cash,2022-01-09,Walk-in,True
CUST-E85A2,Valerie,Moore,20,Female,American,Vientiane-Shop,Mobile Banking,2022-01-09,Walk-in,True
CUST-D02D3,Norma,Miller,33,Female,Thai,Pakse-Shop,Credit Card,2022-01-09,Walk-in,True
CUST-172FA,Janice,Sanchez,55,Female,Lao,Savanhnaket-Shop,Credit Card,2022-01-09,Walk-in,False
CUST-48050,Cindy,Walker,39,Female,Lao,Online/Website,Credit Card,2022-01-09,Influencer_Ref,True
CUST-85A8E,Jennifer,Murphy,61,Male,Other,Pakse-Shop,Credit Card,2022-01-09,Walk-in,False
CUST-75809,Candice,Wagner,48,Female,Lao,Online/Website,Mobile Banking,2022-01-09,Facebook,False
CUST-D6723,Lisa,Riggs,62,Male,Lao,Savanhnaket-Shop,Credit Card,2022-01-09,Walk-in,False
CUST-6FA64,Robert,Nelson,60,Female,Lao,Online/Website,Mobile Banking,2022-01-09,Tiktok,True
CUST-52A2D,Lisa,Crawford,53,Female,American,Vangvieng-Shop,Mobile Banking,2022-01-09,Walk-in,False
CUST-81DBD,Alexis,Scott,53,Female,Other,Savanhnaket-Shop,Credit Card,2022-01-10,Walk-in,True
CUST-C29CF,Christopher,Bush,48,Female,Lao,Online/Website,Credit Card,2022-01-10,Facebook,True
CUST-7A87B,Thomas,Noble,46,Female,Thai,Luangprabang-Shop,Mobile Banking,2022-01-10,Walk-in,False
CUST-E540A,Allison,Smith,22,Female,Other,Online/Website,Mobile Banking,2022-01-10,Influencer_Ref,True
CUST-F2A02,Victor,Wright,33,Female,Lao,Online/Website,Credit Card,2022-01-10,Influencer_Ref,True
CUST-DA63E,Scott,Jones,45,Male,Thai,Pakse-Shop,Mobile Banking,2022-01-10,Walk-in,True
CUST-A8AB2,Michelle,Russell,60,Female,Lao,Online/Website,Mobile Banking,2022-01-10,Influencer_Ref,True
CUST-5A584,Andrea,Mclean,46,Female,Other,Vangvieng-Shop,Mobile Banking,2022-01-10,Walk-in,True
CUST-AB4E9,Jose,Oneill,23,Female,Lao,Savanhnaket-Shop,Mobile Banking,2022-01-11,Walk-in,False
CUST-92243,Bryan,Mcpherson,29,Male,Thai,Vangvieng-Shop,Mobile Banking,2022-01-11,Walk-in,True
CUST-ABB7B,Natalie,Fields,33,Female,Lao,Vangvieng-Shop,Cash,2022-01-11,Walk-in,True
CUST-693B6,Monica,Jenkins,54,Male,Lao,Online/Website,Mobile Banking,2022-01-11,Influencer_Ref,True
CUST-A72DA,Joseph,Stephens,24,Male,Lao,Vientiane-Shop,Credit Card,2022-01-11,Walk-in,True
CUST-84081,Ryan,Roberts,29,Female,Lao,Luangprabang-Shop,Cash,2022-01-11,Walk-in,True
CUST-BA89C,Charles,Stuart,55,Female,Thai,Online/Website,Credit Card,2022-01-11,Influencer_Ref,True
CUST-DA657,Sierra,Lee,65,Female,Lao,Online/Website,Credit Card,2022-01-11,Tiktok,True
CUST-E3C1D,Anthony,Barnett,24,Female,American,Pakse-Shop,Cash,2022-01-11,Walk-in,True
CUST-E6F50,Thomas,Terry,30,Male,Lao,Vientiane-Shop,Credit Card,2022-01-11,Walk-in,True
CUST-54D51,Joshua,Collins,50,Male,Chinese,Online/Website,Mobile Banking,2022-01-11,Influencer_Ref,False
CUST-7A348,Alicia,Smith,53,Female,Thai,Savanhnaket-Shop,Mobile Banking,2022-01-11,Walk-in,False
CUST-A1956,Steven,Short,56,Male,Other,Vangvieng-Shop,Mobile Banking,2022-01-11,Walk-in,False
CUST-47BFA,Rick,Long,21,Male,Thai,Vientiane-Shop,Credit Card,2022-01-12,Walk-in,True
CUST-C11A2,Thomas,Brown,22,Male,Lao,Luangprabang-Shop,Mobile Banking,2022-01-12,Walk-in,True
CUST-D24C8,Mason,Miranda,50,Female,Thai,Luangprabang-Shop,Cash,2022-01-12,Walk-in,True
CUST-EDC9A,Amanda,Hernandez,41,Female,Lao,Luangprabang-Shop,Cash,2022-01-12,Walk-in,True
CUST-324F9,Dominic,Hall,64,Female,Thai,Savanhnaket-Shop,Cash,2022-01-12,Walk-in,False
CUST-2AFC6,Jason,Robinson,39,Male,Thai,Online/Website,Credit Card,2022-01-12,Facebook,True
CUST-3FFBA,Charles,Moyer,31,Male,Lao,Luangprabang-Shop,Mobile Banking,2022-01-12,Walk-in,False
CUST-98BA9,Arthur,Schneider,22,Female,Lao,Luangprabang-Shop,Mobile Banking,2022-01-12,Walk-in,False
CUST-D1E23,Bradley,Jones,32,Male,Lao,Vientiane-Shop,Mobile Banking,2022-01-12,Walk-in,True
CUST-2E85C,Natalie,Green,58,Female,Lao,Luangprabang-Shop,Mobile Banking,2022-01-12,Walk-in,False
CUST-5C311,Andrew,Beck,64,Male,Thai,Luangprabang-Shop,Credit Card,2022-01-13,Walk-in,True
CUST-8495C,Michael,Cobb,39,Male,Lao,Online/Website,Mobile Banking,2022-01-13,Website,True
CUST-909CA,Stacey,Thomas,52,Female,Lao,Vientiane-Shop,Mobile Banking,2022-01-13,Walk-in,True
CUST-D3D20,Richard,Carlson,42,Male,Lao,Savanhnaket-Shop,Credit Card,2022-01-13,Walk-in,False
CUST-2D91A,Robin,Howard,23,Female,Chinese,Luangprabang-Shop,Credit Card,2022-01-13,Walk-in,True
CUST-F6074,Amy,Bruce,49,Male,Thai,Pakse-Shop,Mobile Banking,2022-01-13,Walk-in,True
CUST-97877,William,Woods,21,Male,Lao,Vientiane-Shop,Credit Card,2022-01-13,Walk-in,False
CUST-0F094,Michael,Caldwell,55,Female,Thai,Vientiane-Shop,Mobile Banking,2022-01-13,Walk-in,True
CUST-8117A,Amanda,Mitchell,34,Male,Lao,Online/Website,Credit Card,2022-01-13,Tiktok,True
CUST-2655A,Erik,Farrell,27,Male,Lao,Savanhnaket-Shop,Mobile Banking,2022-01-13,Walk-in,False
CUST-46711,Jennifer,Watkins,56,Female,Lao,Luangprabang-Shop,Cash,2022-01-13,Walk-in,False
CUST-C4846,Lisa,Valenzuela,24,Female,Lao,Vientiane-Shop,Mobile Banking,2022-01-13,Walk-in,True
CUST-E0AC5,Vincent,Allen,34,Male,Lao,Luangprabang-Shop,Credit Card,2022-01-13,Walk-in,False
CUST-1BF90,William,Torres,31,Female,Lao,Luangprabang-Shop,Mobile Banking,2022-01-13,Walk-in,False
CUST-41107,Andrew,Golden,50,Male,Thai,Online/Website,Mobile Banking,2022-01-13,Influencer_Ref,True
CUST-8DB09,Adam,Fernandez,23,Male,Lao,Luangprabang-Shop,Credit Card,2022-01-14,Walk-in,False
CUST-40A8A,Evelyn,Rocha,22,Female,Thai,Luangprabang-Shop,Credit Card,2022-01-14,Walk-in,True
CUST-D87E1,Frank,Martin,54,Male,Thai,Vangvieng-Shop,Credit Card,2022-01-14,Walk-in,False
CUST-2D6BD,Jasmine,Hodges,54,Female,Chinese,Luangprabang-Shop,Cash,2022-01-14,Walk-in,False
CUST-B2EA0,Heather,Allison,21,Male,Lao,Savanhnaket-Shop,Mobile Banking,2022-01-14,Walk-in,True
CUST-A3C27,Brittany,Murphy,36,Male,Lao,Online/Website,Credit Card,2022-01-14,Tiktok,True
CUST-77CF3,Thomas,Ruiz,53,Female,Thai,Savanhnaket-Shop,Credit Card,2022-01-14,Walk-in,False
CUST-8B5B1,Yolanda,Salinas,38,Male,Lao,Online/Website,Mobile Banking,2022-01-14,Website,True
CUST-5CE2D,Brandon,Vance,56,Female,Lao,Vientiane-Shop,Mobile Banking,2022-01-14,Walk-in,False
CUST-9D188,Dana,Wallace,29,Male,Other,Luangprabang-Shop,Credit Card,2022-01-14,Walk-in,True
CUST-DF20E,Brandi,Lynch,41,Male,Thai,Vangvieng-Shop,Mobile Banking,2022-01-14,Walk-in,True
CUST-FE64F,Robert,Shelton,29,Female,Other,Savanhnaket-Shop,Credit Card,2022-01-14,Walk-in,False
CUST-0BB5E,Gerald,Boyd,31,Female,Lao,Luangprabang-Shop,Mobile Banking,2022-01-14,Walk-in,False
CUST-AC07A,Walter,Austin,27,Female,Thai,Online/Website,Mobile Banking,2022-01-14,Influencer_Ref,True
CUST-254D8,Amanda,Travis,25,Female,Other,Vientiane-Shop,Mobile Banking,2022-01-14,Walk-in,False
CUST-DC40F,Natalie,Jones,55,Female,Lao,Vientiane-Shop,Credit Card,2022-01-14,Walk-in,False
CUST-2F4D5,Jennifer,Allen,48,Female,Chinese,Savanhnaket-Shop,Mobile Banking,2022-01-14,Walk-in,False
CUST-F8249,Joshua,Hurley,50,Female,American,Luangprabang-Shop,Mobile Banking,2022-01-15,Walk-in,True
CUST-83F6C,Jennifer,Sullivan,56,Female,Lao,Pakse-Shop,Mobile Banking,2022-01-15,Walk-in,False
CUST-9BA2B,Heather,Luna,58,Male,Lao,Online/Website,Mobile Banking,2022-01-15,Tiktok,True
CUST-A1F51,Nicholas,Gomez,50,Female,Thai,Vientiane-Shop,Mobile Banking,2022-01-15,Walk-in,False
CUST-961D3,Kathleen,Pierce,36,Female,American,Vangvieng-Shop,Mobile Banking,2022-01-15,Walk-in,False
CUST-46C94,William,Baker,22,Female,Lao,Luangprabang-Shop,Mobile Banking,2022-01-15,Walk-in,False
CUST-B5161,George,Robinson,63,Female,Lao,Online/Website,Mobile Banking,2022-01-15,Influencer_Ref,True
CUST-934B0,Brooke,Phillips,56,Male,Lao,Vangvieng-Shop,Mobile Banking,2022-01-15,Walk-in,True
CUST-05ABE,Ann,Nolan,30,Male,American,Savanhnaket-Shop,Mobile Banking,2022-01-15,Walk-in,False
CUST-51441,Rebecca,Rodriguez,19,Female,Other,Online/Website,Credit Card,2022-01-15,Tiktok,True
CUST-5E5CF,Kari,Peterson,59,Male,American,Online/Website,Mobile Banking,2022-01-15,Influencer_Ref,False
CUST-DEABC,Beth,Walters,36,Female,Thai,Luangprabang-Shop,Mobile Banking,2022-01-15,Walk-in,True
CUST-60AF8,Shelley,Clark,28,Male,Thai,Pakse-Shop,Credit Card,2022-01-15,Walk-in,True
CUST-6D88F,Kevin,Baker,22,Female,Lao,Luangprabang-Shop,Credit Card,2022-01-16,Walk-in,False
CUST-774DC,Adam,Waller,39,Female,Thai,Luangprabang-Shop,Mobile Banking,2022-01-16,Walk-in,False
CUST-E27A2,Mary,Howard,23,Female,Lao,Online/Website,Mobile Banking,2022-01-16,Facebook,True
CUST-EFD19,Gregory,Anderson,40,Male,Thai,Pakse-Shop,Mobile Banking,2022-01-16,Walk-in,True
CUST-F315B,Jeffrey,Williams,23,Male,Lao,Online/Website,Credit Card,2022-01-16,Website,True
CUST-44239,Danielle,Allison,46,Female,Lao,Luangprabang-Shop,Credit Card,2022-01-16,Walk-in,True
CUST-0373A,Angela,Vasquez,35,Female,Chinese,Vientiane-Shop,Mobile Banking,2022-01-16,Walk-in,False
CUST-E4A95,Kelly,Waters,21,Male,Thai,Vangvieng-Shop,Cash,2022-01-16,Walk-in,True
CUST-C86A0,Cynthia,Fleming,39,Female,Lao,Online/Website,Credit Card,2022-01-16,Influencer_Ref,True
CUST-2256E,Kelly,Garcia,55,Male,Thai,Pakse-Shop,Mobile Banking,2022-01-16,Walk-in,True
CUST-C2BFE,Laura,Barber,55,Female,Lao,Savanhnaket-Shop,Cash,2022-01-16,Walk-in,False
CUST-EADFB,Lori,Lee,43,Male,Lao,Vientiane-Shop,Cash,2022-01-16,Walk-in,False
CUST-DA2A0,Vanessa,Hodge,60,Male,Other,Luangprabang-Shop,Mobile Banking,2022-01-16,Walk-in,False
CUST-6EA75,Alexis,Thompson,49,Female,Lao,Online/Website,Credit Card,2022-01-17,Facebook,False
CUST-15CCB,Erica,Foley,27,Female,Other,Pakse-Shop,Credit Card,2022-01-17,Walk-in,False
CUST-1D1D7,Bradley,Cruz,39,Female,Thai,Online/Website,Credit Card,2022-01-17,Facebook,False
CUST-BC1A2,Tony,Thomas,55,Female,Lao,Luangprabang-Shop,Mobile Banking,2022-01-17,Walk-in,True
CUST-64918,Jacqueline,Richard,42,Female,Lao,Luangprabang-Shop,Mobile Banking,2022-01-17,Walk-in,False
CUST-75B76,Edgar,Lopez,38,Female,Lao,Luangprabang-Shop,Mobile Banking,2022-01-17,Walk-in,True
CUST-46A62,Cynthia,Martin,59,Male,Lao,Online/Website,Credit Card,2022-01-17,Facebook,False
CUST-6E453,Rhonda,Dean,47,Female,Other,Luangprabang-Shop,Mobile Banking,2022-01-17,Walk-in,False
CUST-C8BC9,Keith,Romero,40,Male,Thai,Online/Website,Mobile Banking,2022-01-17,Influencer_Ref,True
CUST-57019,Megan,Barrett,24,Female,Lao,Luangprabang-Shop,Cash,2022-01-17,Walk-in,True
CUST-CB8B5,Amanda,Davis,56,Male,Thai,Savanhnaket-Shop,Cash,2022-01-17,Walk-in,True
CUST-CACE8,Bradley,Morris,53,Male,Lao,Online/Website,Credit Card,2022-01-17,Tiktok,True
CUST-3A001,Alexander,Howard,43,Female,Lao,Online/Website,Credit Card,2022-01-17,Influencer_Ref,True
CUST-6E41E,James,Martinez,24,Female,Chinese,Vientiane-Shop,Mobile Banking,2022-01-18,Walk-in,False
CUST-D9FC4,Rose,Thomas,57,Female,Lao,Luangprabang-Shop,Credit Card,2022-01-18,Walk-in,True
CUST-56623,Jeffrey,Woodard,51,Male,Chinese,Online/Website,Mobile Banking,2022-01-18,Influencer_Ref,False
CUST-0E684,Stephanie,Howard,24,Male,Thai,Luangprabang-Shop,Mobile Banking,2022-01-18,Walk-in,True
CUST-DAB57,Tonya,Chavez,63,Female,Lao,Vangvieng-Shop,Cash,2022-01-18,Walk-in,True
CUST-D410C,Matthew,Campbell,36,Female,American,Savanhnaket-Shop,Credit Card,2022-01-18,Walk-in,True
CUST-133F7,Michelle,Pierce,34,Female,Other,Luangprabang-Shop,Cash,2022-01-18,Walk-in,False
CUST-F5B36,Carol,Chen,32,Female,Thai,Online/Website,Mobile Banking,2022-01-18,Tiktok,True
CUST-22CB0,Christopher,Thomas,59,Female,Lao,Vangvieng-Shop,Credit Card,2022-01-18,Walk-in,False
CUST-00605,Jesse,Smith,47,Female,Lao,Vientiane-Shop,Credit Card,2022-01-18,Walk-in,True
CUST-B6494,Joshua,Cobb,59,Female,Lao,Vangvieng-Shop,Credit Card,2022-01-18,Walk-in,False
CUST-1F9AC,Kevin,Garcia,27,Female,Chinese,Luangprabang-Shop,Mobile Banking,2022-01-18,Walk-in,False
CUST-6E7A2,Christina,Morrison,26,Male,Lao,Vangvieng-Shop,Credit Card,2022-01-18,Walk-in,True
CUST-8E76B,Rodney,Brown,57,Male,Lao,Online/Website,Mobile Banking,2022-01-18,Influencer_Ref,True
CUST-7F061,Mary,Carter,39,Female,Other,Vientiane-Shop,Cash,2022-01-18,Walk-in,True
CUST-0A994,Cindy,Herrera,41,Male,Other,Vangvieng-Shop,Credit Card,2022-01-18,Walk-in,True
CUST-13557,Andrew,King,29,Female,Lao,Luangprabang-Shop,Mobile Banking,2022-01-18,Walk-in,False
CUST-5DD10,Melissa,Moore,41,Female,Lao,Vientiane-Shop,Credit Card,2022-01-18,Walk-in,True
CUST-38CE2,Rachel,Mitchell,57,Male,Lao,Pakse-Shop,Credit Card,2022-01-19,Walk-in,True
CUST-272D9,Joanna,Holmes,30,Male,Thai,Vientiane-Shop,Credit Card,2022-01-19,Walk-in,True
CUST-B6B31,Matthew,Miller,38,Female,Lao,Online/Website,Credit Card,2022-01-19,Facebook,True
CUST-1CC76,Stephen,Henson,27,Male,Lao,Luangprabang-Shop,Mobile Banking,2022-01-19,Walk-in,False
CUST-52548,Paul,Anderson,24,Male,Thai,Savanhnaket-Shop,Mobile Banking,2022-01-19,Walk-in,False
CUST-AB25E,Colton,Ewing,40,Female,Lao,Vientiane-Shop,Cash,2022-01-19,Walk-in,True
CUST-1ED2E,Bryan,Miller,33,Female,Lao,Vangvieng-Shop,Credit Card,2022-01-19,Walk-in,False
CUST-E9B18,Elizabeth,Vance,48,Male,Thai,Vientiane-Shop,Mobile Banking,2022-01-19,Walk-in,False
CUST-214A2,Anthony,Fletcher,28,Female,Other,Vientiane-Shop,Credit Card,2022-01-19,Walk-in,False
CUST-50583,Kelsey,Smith,33,Male,Thai,Online/Website,Mobile Banking,2022-01-19,Tiktok,False
CUST-273E7,Jesse,Mitchell,37,Male,Lao,Vientiane-Shop,Mobile Banking,2022-01-19,Walk-in,True
